depth,latitude,longitude,time,siage,sisnthick,sithick,so,thetao,atmospheric_temperature
0.0,84.25,75.68000000003997,2023-01-21,470.45578,0.30494502,1.4107467,33.537773,-1.7818847,-17.45
0.0,84.125,75.60000000003996,2023-01-20,468.42285,0.3019722,1.4083209,33.636433,-1.788195,-21.297916
0.0,83.9375,75.60000000003996,2023-01-19,466.98038,0.30029255,1.397617,33.78697,-1.7837607,-25.762503
0.0,83.75,75.68000000003997,2023-01-18,468.7337,0.30015433,1.3895974,33.85066,-1.7799276,-25.897919
0.0,83.6875,75.84000000003999,2023-01-17,466.19873,0.2996389,1.3848109,33.841263,-1.7904217,-26.897919
0.0,83.625,76.16000000004004,2023-01-16,463.0961,0.29887268,1.3795309,33.81414,-1.8007928,-29.004166
0.0,83.5,76.48000000004009,2023-01-15,464.44034,0.29932275,1.3761147,33.747192,-1.8032876,-30.025
0.0,83.375,76.56000000004008,2023-01-14,469.91,0.30121726,1.3695604,33.732864,-1.8095611,-29.316671
0.0,83.25,76.56000000004008,2023-01-13,474.8228,0.30249596,1.3635035,33.77351,-1.8164148,-27.839582
0.0,83.25,76.64000000004012,2023-01-12,468.46454,0.30113083,1.3604175,33.769016,-1.8176043,-29.183332
0.0,83.1875,76.64000000004012,2023-01-11,467.91946,0.30185646,1.3554149,33.792706,-1.8199804,-29.189585
0.0,83.125,76.64000000004012,2023-01-10,471.00003,0.30283165,1.3497976,33.80516,-1.8221912,-29.656248
0.0,83.0625,76.72000000004016,2023-01-09,471.52124,0.30301058,1.3444943,33.804638,-1.8219479,-28.499998
0.0,83.0625,76.72000000004016,2023-01-08,467.71756,0.30225003,1.3407904,33.807255,-1.8207241,-24.833328
0.0,83.0625,76.88000000004013,2023-01-07,465.10074,0.30074656,1.34052,33.806736,-1.8215548,-22.704165
0.0,83.0625,77.12000000004019,2023-01-06,465.61896,0.2995676,1.3378949,33.807533,-1.8213359,-25.839586
0.0,83.0625,77.28000000004022,2023-01-05,468.23077,0.30028886,1.3330494,33.80887,-1.8194511,-25.079165
0.0,83.0625,77.52000000004023,2023-01-04,470.02484,0.3004941,1.3285989,33.810215,-1.8154379,-24.887497
0.0,83.0625,78.08000000004034,2023-01-03,469.17896,0.30085444,1.3265599,33.809273,-1.8062392,-25.043747
0.0,83.0,78.64000000004046,2023-01-02,472.35217,0.30196992,1.3246808,33.801903,-1.8047768,-22.225004
0.0,83.0,78.48000000004038,2023-01-01,475.4606,0.29900846,1.3263469,33.760914,-1.802861,-13.158333
0.0,82.9375,77.60000000004027,2022-12-31,486.40466,0.28981793,1.3261535,33.74375,-1.8038936,-10.818751
0.0,82.875,76.32000000004007,2022-12-30,500.72623,0.28442743,1.3116245,33.75054,-1.7957441,-7.4833336
0.0,82.8125,75.60000000003996,2022-12-29,504.12903,0.27824637,1.3070797,33.781036,-1.7957419,-6.339583
0.0,82.8125,75.60000000003996,2022-12-28,491.38373,0.27289504,1.3095586,33.781033,-1.802069,-15.943752
0.0,82.8125,75.60000000003996,2022-12-27,481.83194,0.27107772,1.3067638,33.778004,-1.8003739,-22.310415
0.0,82.75,75.52000000003994,2022-12-26,487.0769,0.27030805,1.3017676,33.807217,-1.8033562,-21.158333
0.0,82.6875,75.68000000003997,2022-12-25,489.3608,0.26872906,1.2819533,33.83412,-1.807794,-22.785416
0.0,82.625,76.00000000004002,2022-12-24,488.21353,0.26769313,1.2854627,33.839413,-1.8062968,-20.85
